Format Version,1.24,Take Name,VectorSurgeTrials_013SNAP,Take Notes,,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2024-09-10 04.04.56.425 PM,Capture Start Frame,33991,Total Frames in Take,9894,Total Exported Frames,9894,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,,,,,,,,,,
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,
80,1.333333,0.444722,0.082891,0.432164,3233.185791,-4.30057,1127.552124,10.581288,-7.12296,42.949535,-2577.193848,-2874.753174,33.333469,,,,,,,,,,
81,1.35,0.437037,-0.010812,0.460276,3233.250732,-4.308776,1127.506836,10.589571,-7.151599,42.833164,-2577.213379,-2874.848877,33.244816,,,,,,,,,,
82,1.366667,0.436738,-0.032723,0.451813,3233.257812,-4.288033,1127.53125,10.570793,-7.011671,42.691486,-2577.270996,-2874.981445,33.198215,,,,,,,,,,
83,1.383333,0.453977,-0.028519,0.453957,3233.27124,-4.321992,1127.557617,10.644331,-7.092196,42.878136,-2577.185547,-2874.710205,33.301273,,,,,,,,,,
84,1.4,0.483149,-0.037061,0.481291,3233.224854,-4.33597,1127.570435,10.598626,-7.077651,42.817619,-2577.244141,-2874.796143,33.294903,,,,,,,,,,
85,1.416667,0.450002,-0.014353,0.457928,3233.264404,-4.311086,1127.529053,10.633293,-7.132936,42.73439,-2577.235107,-2874.945801,33.199303,,,,,,,,,,
86,1.433333,0.447773,-0.009257,0.454312,3233.263184,-4.321559,1127.55957,10.612237,-7.105896,42.80658,-2577.192627,-2874.847656,33.250313,,,,,,,,,,
87,1.45,0.420302,-0.010829,0.420148,3233.27417,-4.316263,1127.5625,10.64011,-7.115399,42.835899,-2577.20459,-2874.861328,33.31855,,,,,,,,,,
88,1.466667,0.441197,-0.003765,0.444087,3233.253906,-4.312122,1127.581787,10.658248,-7.056504,42.760841,-2577.222656,-2874.923828,33.224411,,,,,,,,,,
89,1.483333,0.4542,0.016443,0.463118,3233.231445,-4.307539,1127.58606,10.577643,-6.954946,42.840897,-2577.202637,-2874.864502,33.26804,,,,,,,,,,
90,1.5,0.449387,0.000184,0.435836,3233.247314,-4.316406,1127.565308,10.580842,-7.087557,42.83213,-2577.213867,-2874.854492,33.234821,,,,,,,,,,
91,1.516667,0.461272,0.00124,0.435357,3233.276855,-4.325193,1127.566162,10.654116,-7.054314,42.662899,-2577.219238,-2874.908447,33.235584,,,,,,,,,,
92,1.533333,0.449665,-0.005379,0.434927,3233.252197,-4.316254,1127.571289,10.713631,-7.272338,42.753239,-2577.178467,-2874.802979,33.248135,,,,,,,,,,
93,1.55,0.499214,0.120134,0.377184,3233.14502,-4.255252,1127.567749,10.563915,-7.128757,42.897221,-2577.144287,-2874.775391,33.274315,,,,,,,,,,
94,1.566667,0.452597,0.127306,0.360047,3233.193359,-4.289789,1127.567383,10.597216,-7.045491,42.7304,-2577.213867,-2874.910156,33.238392,,,,,,,,,,
95,1.583333,0.427534,0.064052,0.427584,3233.236084,-4.300917,1127.563965,10.602456,-7.010333,42.809906,-2577.245117,-2874.921143,33.238071,,,,,,,,,,
96,1.6,0.435702,0.029924,0.423525,3233.283447,-4.321597,1127.555054,10.609555,-7.166051,42.902748,-2577.196533,-2874.777832,33.296131,,,,,,,,,,
97,1.616667,0.46605,0.007248,0.451146,3233.281494,-4.322997,1127.56665,10.632405,-7.143771,42.856373,-2577.193359,-2874.83667,33.288471,,,,,,,,,,
98,1.633333,0.47321,-0.008771,0.452426,3233.231934,-4.286695,1127.567383,10.572037,-6.994659,42.780903,-2577.227783,-2874.938965,33.219948,,,,,,,,,,
99,1.65,0.466344,-0.018256,0.44469,3233.237549,-4.305561,1127.558105,10.569692,-7.068486,42.817226,-2577.220703,-2874.865234,33.265064,,,,,,,,,,
100,1.666667,0.469628,0.001498,0.451425,3233.24585,-4.309836,1127.565186,10.577873,-7.088495,42.836205,-2577.199707,-2874.869629,33.286491,,,,,,,,,,
101,1.683333,0.452163,0.00881,0.451594,3233.232178,-4.300069,1127.564575,10.624393,-7.177219,42.765888,-2577.243408,-2874.920654,33.234383,,,,,,,,,,
102,1.7,0.467595,-0.001638,0.46815,3233.213867,-4.31533,1127.567017,10.589275,-7.176738,42.867348,-2577.197998,-2874.775146,33.264084,,,,,,,,,,
